TIMESTAMP,RESSOURCES,importCost
1,electricity,4.74
2,electricity,3.66
3,electricity,1.26
4,electricity,0
5,electricity,0
6,electricity,0
7,electricity,0
8,electricity,0
9,electricity,2.03
10,electricity,0
11,electricity,0
12,electricity,2.3
13,electricity,2.3
14,electricity,5
15,electricity,8.56
16,electricity,9.42
17,electricity,12.46
18,electricity,15.93
19,electricity,22.02
20,electricity,20
21,electricity,21.95
22,electricity,23.52
23,electricity,16.35
24,electricity,14.43
25,electricity,10.26
26,electricity,7.48
27,electricity,4.52
28,electricity,4.24
29,electricity,8.36
30,electricity,22.58
31,electricity,41.92
32,electricity,47.95
33,electricity,49.9
34,electricity,50
35,electricity,49.7
36,electricity,48.16
37,electricity,47.24
38,electricity,46.1
39,electricity,43.86
40,electricity,43.64
41,electricity,47.37
42,electricity,46.08
43,electricity,41.08
44,electricity,34.94
45,electricity,25.46
46,electricity,23.25
47,electricity,15.49
48,electricity,12.14
49,electricity,5.48
50,electricity,5
51,electricity,0.99
52,electricity,0
53,electricity,3.87
54,electricity,12.25
55,electricity,19.42
56,electricity,22.57
57,electricity,22.37
58,electricity,18.65
59,electricity,19.35
60,electricity,18.93
61,electricity,17.26
62,electricity,16.76
63,electricity,18.09
64,electricity,19.51
65,electricity,24.13
66,electricity,36.67
67,electricity,26.27
68,electricity,26.06
69,electricity,19.88
70,electricity,17.26
71,electricity,13.87
72,electricity,11.76
73,electricity,3.46
74,electricity,2.11
75,electricity,2.63
76,electricity,4.99
77,electricity,11.08
78,electricity,22.34
79,electricity,33.59
80,electricity,40.45
81,electricity,41.97
82,electricity,44.91
83,electricity,47.14
84,electricity,46.04
85,electricity,34.36
86,electricity,32.51
87,electricity,32.77
88,electricity,33.81
89,electricity,50.08
90,electricity,49.96
91,electricity,46.73
92,electricity,41.57
93,electricity,37.09
94,electricity,33.92
95,electricity,31.5
96,electricity,16.67
97,electricity,11.73
98,electricity,6.86
99,electricity,0.55
100,electricity,2.45
101,electricity,13.51
102,electricity,23.96
103,electricity,33.39
104,electricity,37.79
105,electricity,36.93
106,electricity,39.11
107,electricity,39.4
108,electricity,41.69
109,electricity,47
110,electricity,44.08
111,electricity,47.1
112,electricity,47.77
113,electricity,56.35
114,electricity,57.42
115,electricity,53.99
116,electricity,42.36
117,electricity,39.9
118,electricity,39.97
119,electricity,36.27
120,electricity,29.45
121,electricity,28.55
122,electricity,28.18
123,electricity,25.27
124,electricity,24.34
125,electricity,27.42
126,electricity,30
127,electricity,31.36
128,electricity,34.19
129,electricity,41.11
130,electricity,44
131,electricity,43.74
132,electricity,44.43
133,electricity,42.9
134,electricity,38.7
135,electricity,37.4
136,electricity,37.99
137,electricity,44.22
138,electricity,49.98
139,electricity,45.9
140,electricity,40.9
141,electricity,33.69
142,electricity,36.26
143,electricity,29.03
144,electricity,21.87
145,electricity,15.98
146,electricity,15.99
147,electricity,14
148,electricity,12.51
149,electricity,13.21
150,electricity,12.17
151,electricity,13.02
152,electricity,18.41
153,electricity,19.58
154,electricity,22.14
155,electricity,28.44
156,electricity,29.26
157,electricity,27.08
158,electricity,20.32
159,electricity,19.86
160,electricity,21.41
161,electricity,28.87
162,electricity,34.34
163,electricity,32.33
164,electricity,31.44
165,electricity,28.94
166,electricity,29.69
167,electricity,27.01
168,electricity,18.91
169,electricity,15.15
170,electricity,15.11
171,electricity,13.42
172,electricity,12.91
173,electricity,17.1
174,electricity,30.03
175,electricity,42.93
176,electricity,44.95
177,electricity,44.66
178,electricity,46.6
179,electricity,51.88
180,electricity,43.42
181,electricity,43.54
182,electricity,44.19
183,electricity,40.97
184,electricity,47.66
185,electricity,54.12
186,electricity,55
187,electricity,52.93
188,electricity,37.57
189,electricity,34.12
190,electricity,31.19
191,electricity,45.19
192,electricity,36.01
193,electricity,36.04
194,electricity,34.2
195,electricity,30.71
196,electricity,27.86
197,electricity,36.5
198,electricity,39.03
199,electricity,55.9
200,electricity,58.99
201,electricity,58.9
202,electricity,60.08
203,electricity,61.35
204,electricity,58.02
205,electricity,55.97
206,electricity,49.08
207,electricity,45.02
208,electricity,47.1
209,electricity,55.55
210,electricity,56.74
211,electricity,54.68
212,electricity,49.48
213,electricity,42.91
214,electricity,39.36
215,electricity,39.6
216,electricity,31.26
217,electricity,28.73
218,electricity,28.18
219,electricity,24.73
220,electricity,19.42
221,electricity,30.6
222,electricity,34.87
223,electricity,45.09
224,electricity,49.29
225,electricity,49.14
226,electricity,48.56
227,electricity,50.46
228,electricity,47.81
229,electricity,45.36
230,electricity,47.1
231,electricity,47.98
232,electricity,48.9
233,electricity,51.9
234,electricity,52.69
235,electricity,49.1
236,electricity,44
237,electricity,36.99
238,electricity,38.43
239,electricity,37.9
240,electricity,37.33
241,electricity,36.3
242,electricity,34.2
243,electricity,33
244,electricity,33.05
245,electricity,37.09
246,electricity,41.5
247,electricity,53.07
248,electricity,57.22
249,electricity,59.02
250,electricity,57.58
251,electricity,57.45
252,electricity,54.61
253,electricity,54.83
254,electricity,54.74
255,electricity,54.01
256,electricity,54.96
257,electricity,57.47
258,electricity,57.66
259,electricity,54.9
260,electricity,50
261,electricity,43.13
262,electricity,42.4
263,electricity,37.92
264,electricity,35.64
265,electricity,34.69
266,electricity,34
267,electricity,33.08
268,electricity,33.46
269,electricity,35.1
270,electricity,39.93
271,electricity,48.5
272,electricity,49.56
273,electricity,52.36
274,electricity,52.38
275,electricity,52.45
276,electricity,52.08
277,electricity,51.03
278,electricity,47.14
279,electricity,45.92
280,electricity,46.5
281,electricity,50.52
282,electricity,52.44
283,electricity,51.99
284,electricity,44.17
285,electricity,42.19
286,electricity,42.57
287,electricity,38.04
288,electricity,43.15
289,electricity,38.42
290,electricity,36.11
291,electricity,33.8
292,electricity,32.04
293,electricity,32.55
294,electricity,32
295,electricity,33.76
296,electricity,39.28
297,electricity,44.51
298,electricity,45.62
299,electricity,44.77
300,electricity,44.7
301,electricity,39.14
302,electricity,34.77
303,electricity,34.68
304,electricity,35.88
305,electricity,48.56
306,electricity,50.57
307,electricity,51.02
308,electricity,38.64
309,electricity,36.15
310,electricity,38.59
311,electricity,38
312,electricity,38.1
313,electricity,33.83
314,electricity,33
315,electricity,30
316,electricity,27.01
317,electricity,28.48
318,electricity,29.74
319,electricity,32.7
320,electricity,35.1
321,electricity,36.9
322,electricity,37.2
323,electricity,35.88
324,electricity,40.88
325,electricity,37.04
326,electricity,34.9
327,electricity,33.07
328,electricity,34.84
329,electricity,37.99
330,electricity,49.27
331,electricity,49.79
332,electricity,45.14
333,electricity,36.57
334,electricity,38.86
335,electricity,38.33
336,electricity,29.2
337,electricity,31.16
338,electricity,28.26
339,electricity,23.16
340,electricity,24.86
341,electricity,26.67
342,electricity,40.7
343,electricity,54.19
344,electricity,52.87
345,electricity,47.69
346,electricity,49.68
347,electricity,49.91
348,electricity,50.22
349,electricity,49.34
350,electricity,38.35
351,electricity,37.47
352,electricity,37.08
353,electricity,42.92
354,electricity,53.55
355,electricity,52.25
356,electricity,45.93
357,electricity,36.71
358,electricity,40.57
359,electricity,36.21
360,electricity,29.81
361,electricity,17.1
362,electricity,9.26
363,electricity,5.87
364,electricity,8.2
365,electricity,16.48
366,electricity,29.09
367,electricity,38.92
368,electricity,44.07
369,electricity,44.94
370,electricity,44.57
371,electricity,43.73
372,electricity,40.69
373,electricity,40.15
374,electricity,38.63
375,electricity,37.28
376,electricity,39.39
377,electricity,47.07
378,electricity,48.45
379,electricity,44.34
380,electricity,39.9
381,electricity,33.18
382,electricity,33.39
383,electricity,30.47
384,electricity,24.54
385,electricity,19.32
386,electricity,18.36
387,electricity,15.76
388,electricity,15.25
389,electricity,22.39
390,electricity,32.83
391,electricity,44.95
392,electricity,47.26
393,electricity,46.39
394,electricity,41.9
395,electricity,42.96
396,electricity,40.94
397,electricity,40.52
398,electricity,41.29
399,electricity,40.41
400,electricity,41.76
401,electricity,46.01
402,electricity,52.22
403,electricity,52.23
404,electricity,41.29
405,electricity,39.1
406,electricity,40.76
407,electricity,40.94
408,electricity,19.68
409,electricity,16.52
410,electricity,16.35
411,electricity,12.58
412,electricity,7.46
413,electricity,14.96
414,electricity,34.58
415,electricity,43.56
416,electricity,45.11
417,electricity,47.51
418,electricity,45.13
419,electricity,43.98
420,electricity,38.9
421,electricity,38.69
422,electricity,37.57
423,electricity,36.13
424,electricity,38.41
425,electricity,49.47
426,electricity,52.51
427,electricity,50.09
428,electricity,42.31
429,electricity,37.09
430,electricity,38.25
431,electricity,34.81
432,electricity,31.24
433,electricity,30.25
