RESOURCES,TECHNOLOGIES,conversionFactor
electricity,TAC,1
electricity,CCG,1
electricity,OldNuke,1
electricity,NewNuke,1
electricity,Interco,1
electricity,curtailment,1
electricity,WindOnShore,1
electricity,WindOffShore,1
electricity,HydroReservoir,1
electricity,HydroRiver,1
electricity,Solar,1
electricity,Coal_p,1
gaz,TAC,-2.7
gaz,CCG,-1.72
gaz,OldNuke,0
gaz,NewNuke,0
gaz,Interco,0
gaz,curtailment,0
gaz,WindOnShore,0
gaz,HydroReservoir,0
gaz,HydroRiver,0
gaz,Solar,0
gaz,WindOffShore,0
gaz,Coal_p,0
uranium,TAC,0
uranium,CCG,0
uranium,OldNuke,-3.03
uranium,NewNuke,-3.03
uranium,Interco,0
uranium,curtailment,0
uranium,WindOnShore,0
uranium,HydroReservoir,0
uranium,HydroRiver,0
uranium,Solar,0
uranium,WindOffShore,0
uranium,Coal_p,0
hydrogen,TAC,0
hydrogen,CCG,0
hydrogen,OldNuke,0
hydrogen,NewNuke,0
hydrogen,Interco,0
hydrogen,curtailment,0
hydrogen,WindOnShore,0
hydrogen,HydroReservoir,0
hydrogen,HydroRiver,0
hydrogen,Solar,0
hydrogen,WindOffShore,0
hydrogen,Coal_p,0
electricity,electrolysis_AEL,-1.54
electricity,SMR_class,0
electricity,SMR_CCS1,-0.17
electricity,SMR_CCS2,-0.34
electricity,SMR_elec,-0.40
electricity,SMR_elecCCS1,-0.57
electricity,SMR_class_ex,0
gaz,electrolysis_AEL,0
gaz,SMR_class,-1.43
gaz,SMR_CCS1,-1.43
gaz,SMR_CCS2,-1.43
gaz,SMR_elec,-0.91
gaz,SMR_elecCCS1,-0.91
gaz,SMR_class_ex,-1.43
uranium,electrolysis,0
uranium,SMR_class,0
uranium,SMR_CCS1,0
uranium,SMR_CCS2,0
uranium,SMR_elec,0
uranium,SMR_elecCCS1,0
uranium,SMR_class_ex,0
hydrogen,electrolysis_AEL,1
hydrogen,SMR_class,1
hydrogen,SMR_CCS1,1
hydrogen,SMR_CCS2,1
hydrogen,SMR_elec,1
hydrogen,SMR_elecCCS1,1
hydrogen,SMR_class_ex,1
electricity,electrolysis_PEMEL,-1.67
hydrogen,electrolysis_PEMEL,1
gaz,electrolysis_PEMEL,0
uranium,electrolysis_PEMEL,0
electricity,cracking,-0.84
hydrogen,cracking,1
gaz,cracking,-2.33
uranium,cracking,0
electricity,WindOffShore_flot,1
hydrogen,WindOffShore_flot,0
gaz,WindOffShore_flot,0
uranium,WindOffShore_flot,0
