TIMESTAMP,Calendrier,HTA,sup36,inf36
1,HCH,22.6,36.4,39.4
2,HCH,22.6,36.4,39.4
3,HCH,22.6,36.4,39.4
4,HCH,22.6,36.4,39.4
5,HCH,22.6,36.4,39.4
6,HCH,22.6,36.4,39.4
7,P,44.2,52.8,39.4
8,P,44.2,52.8,39.4
9,HPH,35.2,52.8,39.4
10,HPH,35.2,52.8,39.4
11,HPH,35.2,52.8,39.4
12,HPH,35.2,52.8,39.4
13,HPH,35.2,52.8,39.4
14,HPH,35.2,52.8,39.4
15,HPH,35.2,52.8,39.4
16,HPH,35.2,52.8,39.4
17,HPH,35.2,52.8,39.4
18,HPH,35.2,52.8,39.4
19,P,44.2,52.8,39.4
20,P,44.2,52.8,39.4
21,HPH,35.2,52.8,39.4
22,HPH,35.2,52.8,39.4
23,HCH,22.6,36.4,39.4
24,HCH,22.6,36.4,39.4
25,HCH,22.6,36.4,39.4
26,HCH,22.6,36.4,39.4
27,HCH,22.6,36.4,39.4
28,HCH,22.6,36.4,39.4
29,HCH,22.6,36.4,39.4
30,HCH,22.6,36.4,39.4
31,P,44.2,52.8,39.4
32,P,44.2,52.8,39.4
33,HPH,35.2,52.8,39.4
34,HPH,35.2,52.8,39.4
35,HPH,35.2,52.8,39.4
36,HPH,35.2,52.8,39.4
37,HPH,35.2,52.8,39.4
38,HPH,35.2,52.8,39.4
39,HPH,35.2,52.8,39.4
40,HPH,35.2,52.8,39.4
41,HPH,35.2,52.8,39.4
42,HPH,35.2,52.8,39.4
43,P,44.2,52.8,39.4
44,P,44.2,52.8,39.4
45,HPH,35.2,52.8,39.4
46,HPH,35.2,52.8,39.4
47,HCH,22.6,36.4,39.4
48,HCH,22.6,36.4,39.4
49,HCH,22.6,36.4,39.4
50,HCH,22.6,36.4,39.4
51,HCH,22.6,36.4,39.4
52,HCH,22.6,36.4,39.4
53,HCH,22.6,36.4,39.4
54,HCH,22.6,36.4,39.4
55,P,44.2,52.8,39.4
56,P,44.2,52.8,39.4
57,HPH,35.2,52.8,39.4
58,HPH,35.2,52.8,39.4
59,HPH,35.2,52.8,39.4
60,HPH,35.2,52.8,39.4
61,HPH,35.2,52.8,39.4
62,HPH,35.2,52.8,39.4
63,HPH,35.2,52.8,39.4
64,HPH,35.2,52.8,39.4
65,HPH,35.2,52.8,39.4
66,HPH,35.2,52.8,39.4
67,P,44.2,52.8,39.4
68,P,44.2,52.8,39.4
69,HPH,35.2,52.8,39.4
70,HPH,35.2,52.8,39.4
71,HCH,22.6,36.4,39.4
72,HCH,22.6,36.4,39.4
73,HCH,22.6,36.4,39.4
74,HCH,22.6,36.4,39.4
75,HCH,22.6,36.4,39.4
76,HCH,22.6,36.4,39.4
77,HCH,22.6,36.4,39.4
78,HCH,22.6,36.4,39.4
79,P,44.2,52.8,39.4
