,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,electricity,7242369.079084576
1,2040,gaz,-0.0
2,2040,gazBio,5714465.514320223
3,2040,gazNat,24525332.50541707
4,2040,hydrogen,-0.0
5,2050,electricity,6384584.603461442
6,2050,gaz,-0.0
7,2050,gazBio,42529796.72109111
8,2050,gazNat,913212.2789551922
9,2050,hydrogen,-0.0
10,2020,electricity,-0.0
11,2020,gaz,-0.0
12,2020,gazBio,-0.0
13,2020,gazNat,70509194.1001789
14,2020,hydrogen,-0.0
15,2030,electricity,23727932.887818936
16,2030,gaz,-0.0
17,2030,gazBio,849535.7216394464
18,2030,gazNat,69021829.04449987
19,2030,hydrogen,-0.0
