,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,electricity,7278915.334721873
1,2040,gaz,-0.0
2,2040,gazBio,1114587.6227566067
3,2040,gazNat,31116423.60345553
4,2040,hydrogen,-0.0
5,2050,electricity,6171802.745192647
6,2050,gaz,-0.0
7,2050,gazBio,10185320.425187226
8,2050,gazNat,25552730.81860706
9,2050,hydrogen,-0.0
10,2020,electricity,-0.0
11,2020,gaz,-0.0
12,2020,gazBio,-0.0
13,2020,gazNat,70509194.1001789
14,2020,hydrogen,-0.0
15,2030,electricity,1534725.1140315633
16,2030,gaz,-0.0
17,2030,gazBio,-0.0
18,2030,gazNat,116880403.40089926
19,2030,hydrogen,-0.0
