,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,gaz,-0.0
1,2040,electricity,3599904.535846442
2,2040,gazBio,-0.0
3,2040,gazNat,1779245.2032884522
4,2040,hydrogen,-0.0
5,2050,gaz,-0.0
6,2050,electricity,1050274.0345094153
7,2050,gazBio,-0.0
8,2050,gazNat,-0.0
9,2050,hydrogen,-0.0
10,2020,gaz,-0.0
11,2020,electricity,-0.0
12,2020,gazBio,-0.0
13,2020,gazNat,70509194.1001789
14,2020,hydrogen,-0.0
15,2030,gaz,-0.0
16,2030,electricity,13313076.446561225
17,2030,gazBio,-0.0
18,2030,gazNat,24947829.91258385
19,2030,hydrogen,-0.0
