,YEAR_op,HORAIRE,max_PS_Dvar
0,2040,P,1711.8979437689627
1,2040,HPE,1903.173391652657
2,2040,HCH,1903.173391652657
3,2040,HCE,1903.173391652657
4,2040,HPH,1903.173391652657
5,2050,P,1545.2094606734756
6,2050,HPE,2276.2904056206085
7,2050,HCH,2276.2904056206085
8,2050,HCE,2276.2904056206085
9,2050,HPH,2276.2904056206085
10,2020,P,0.0
11,2020,HPE,-0.0
12,2020,HCH,-0.0
13,2020,HCE,-0.0
14,2020,HPH,0.0
15,2030,P,0.0
16,2030,HPE,961.0721143191182
17,2030,HCH,961.0721143191182
18,2030,HCE,961.0721143191182
19,2030,HPH,961.0721143191182
