,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,gazNat,1149627.2255592598
1,2040,gazBio,45174.57352663657
2,2040,hydrogen,-0.0
3,2040,gaz,-0.0
4,2040,electricity,3495441.759351187
5,2050,gazNat,-0.0
6,2050,gazBio,-0.0
7,2050,hydrogen,-0.0
8,2050,gaz,-0.0
9,2050,electricity,976112.6352305079
10,2020,gazNat,70509194.1001789
11,2020,gazBio,-0.0
12,2020,hydrogen,-0.0
13,2020,gaz,-0.0
14,2020,electricity,-0.0
15,2030,gazNat,11216952.057002686
16,2030,gazBio,5071.841281520756
17,2030,hydrogen,-0.0
18,2030,gaz,-0.0
19,2030,electricity,15135746.434655258
