,YEAR_op,HORAIRE,max_PS_Dvar
0,2040,HPH,2038.1578716770723
1,2040,HCE,2038.1578716770723
2,2040,P,1858.9068633437116
3,2040,HPE,2038.1578716770723
4,2040,HCH,2038.1578716770723
5,2050,HPH,2284.9961947989395
6,2050,HCE,2284.9961947989395
7,2050,P,1555.262312034011
8,2050,HPE,2284.9961947989395
9,2050,HCH,2284.9961947989395
10,2020,HPH,0.0
11,2020,HCE,-0.0
12,2020,P,0.0
13,2020,HPE,-0.0
14,2020,HCH,-0.0
15,2030,HPH,1237.7627135109108
16,2030,HCE,1237.7627135109108
17,2030,P,591.8419856158309
18,2030,HPE,1237.7627135109108
19,2030,HCH,1237.7627135109108
