,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,gaz,-0.0
1,2040,electricity,7005366.125808194
2,2040,gazBio,1188116.6729809071
3,2040,gazNat,18098217.939112052
4,2040,hydrogen,-0.0
5,2050,gaz,-0.0
6,2050,electricity,5779983.203396843
7,2050,gazBio,5838934.750062247
8,2050,gazNat,9350719.206201559
9,2050,hydrogen,-0.0
10,2020,gaz,-0.0
11,2020,electricity,-0.0
12,2020,gazBio,-0.0
13,2020,gazNat,70509194.1001789
14,2020,hydrogen,-0.0
15,2030,gaz,-0.0
16,2030,electricity,15080269.389172858
17,2030,gazBio,-0.0
18,2030,gazNat,88065341.86805557
19,2030,hydrogen,-0.0
