,YEAR_op,HORAIRE,max_PS_Dvar
0,2040,P,2824.790972541627
1,2040,HPE,2842.570549022284
2,2040,HCH,2842.570549022284
3,2040,HCE,2842.570549022284
4,2040,HPH,2842.570549022284
5,2050,P,3385.7607526998627
6,2050,HPE,3411.5609668740976
7,2050,HCH,3411.5609668740976
8,2050,HCE,3411.5609668740976
9,2050,HPH,3411.5609668740976
10,2020,P,0.0
11,2020,HPE,-0.0
12,2020,HCH,-0.0
13,2020,HCE,-0.0
14,2020,HPH,0.0
15,2030,P,144.66861982556105
16,2030,HPE,598.5937099752902
17,2030,HCH,598.5937099752902
18,2030,HCE,598.5937099752902
19,2030,HPH,598.5937099752902
