,YEAR_op,TIMESTAMP,STOCK_TECHNO,stockLevel_Pvar
0,2040,1,saltCavernH2_G,233079.51135351582
1,2040,1,Battery,-0.0
2,2040,1,tankH2_G,7279.026658805103
3,2040,2,saltCavernH2_G,233445.16139020532
4,2040,2,Battery,-0.0
5,2040,2,tankH2_G,8075.703595941593
6,2040,3,saltCavernH2_G,233810.81142689483
7,2040,3,Battery,-0.0
8,2040,3,tankH2_G,8872.380533078083
9,2040,4,saltCavernH2_G,234176.46146358433
10,2040,4,Battery,-0.0
11,2040,4,tankH2_G,9669.057470214575
12,2040,5,saltCavernH2_G,234542.11150027384
13,2040,5,Battery,-0.0
14,2040,5,tankH2_G,10465.734407351065
15,2040,6,saltCavernH2_G,234907.76153696337
16,2040,6,Battery,-0.0
17,2040,6,tankH2_G,11262.411344487557
18,2040,7,saltCavernH2_G,235273.41157365288
19,2040,7,Battery,-0.0
20,2040,7,tankH2_G,12059.088281624046
21,2040,8,saltCavernH2_G,235639.06161034238
22,2040,8,Battery,-0.0
23,2040,8,tankH2_G,12855.765218760538
24,2040,9,saltCavernH2_G,236004.7116470319
25,2040,9,Battery,-0.0
26,2040,9,tankH2_G,13652.442155897028
27,2040,10,saltCavernH2_G,236370.3616837214
28,2040,10,Battery,-0.0
29,2040,10,tankH2_G,12724.899735066085
30,2040,11,saltCavernH2_G,236736.0117204109
31,2040,11,Battery,-0.0
32,2040,11,tankH2_G,11882.269894890042
33,2040,12,saltCavernH2_G,237101.6617571004
34,2040,12,Battery,-0.0
35,2040,12,tankH2_G,12678.946832026531
36,2040,13,saltCavernH2_G,237467.3117937899
37,2040,13,Battery,-0.0
38,2040,13,tankH2_G,12678.946832026531
39,2040,14,saltCavernH2_G,237832.96183047944
40,2040,14,Battery,-0.0
41,2040,14,tankH2_G,13506.79527764972
42,2040,15,saltCavernH2_G,238198.61186716895
43,2040,15,Battery,-0.0
44,2040,15,tankH2_G,14427.905487382599
45,2040,16,saltCavernH2_G,238564.26190385845
46,2040,16,Battery,-0.0
47,2040,16,tankH2_G,14427.905487382599
48,2040,17,saltCavernH2_G,238564.26190385845
49,2040,17,Battery,-0.0
50,2040,17,tankH2_G,14079.305711749597
51,2040,18,saltCavernH2_G,238216.84247238128
52,2040,18,Battery,-0.0
53,2040,18,tankH2_G,14079.305711749597
54,2040,19,saltCavernH2_G,237876.53229090414
55,2040,19,Battery,-0.0
56,2040,19,tankH2_G,14079.305711749597
57,2040,20,saltCavernH2_G,237785.0933290388
58,2040,20,Battery,-0.0
59,2040,20,tankH2_G,13836.448294085843
60,2040,21,saltCavernH2_G,237452.80091054863
61,2040,21,Battery,-0.0
62,2040,21,tankH2_G,13836.448294085843
63,2040,22,saltCavernH2_G,237121.86446283772
64,2040,22,Battery,-0.0
65,2040,22,tankH2_G,13836.448294085843
66,2040,23,saltCavernH2_G,236786.58233006185
67,2040,23,Battery,-0.0
68,2040,23,tankH2_G,13836.448294085843
69,2040,24,saltCavernH2_G,236459.10540832495
70,2040,24,Battery,-0.0
71,2040,24,tankH2_G,13836.448294085843
72,2040,25,saltCavernH2_G,236459.10540832495
73,2040,25,Battery,-0.0
74,2040,25,tankH2_G,13522.821758712582
75,2040,26,saltCavernH2_G,236158.0392203543
76,2040,26,Battery,-0.0
77,2040,26,tankH2_G,13522.821758712582
78,2040,27,saltCavernH2_G,235869.0983116044
79,2040,27,Battery,-0.0
80,2040,27,tankH2_G,13522.821758712582
81,2040,28,saltCavernH2_G,235587.83510415323
82,2040,28,Battery,-0.0
83,2040,28,tankH2_G,13522.821758712582
84,2040,29,saltCavernH2_G,235310.3901564423
85,2040,29,Battery,-0.0
86,2040,29,tankH2_G,13522.821758712582
87,2040,30,saltCavernH2_G,235032.94520873137
88,2040,30,Battery,-0.0
89,2040,30,tankH2_G,13522.821758712582
90,2040,31,saltCavernH2_G,234755.50026102044
91,2040,31,Battery,-0.0
92,2040,31,tankH2_G,13522.821758712582
93,2040,32,saltCavernH2_G,234478.05531330954
94,2040,32,Battery,-0.0
95,2040,32,tankH2_G,13522.821758712582
96,2040,33,saltCavernH2_G,234478.05531330954
97,2040,33,Battery,-0.0
98,2040,33,tankH2_G,13245.376811001659
99,2040,34,saltCavernH2_G,234200.6103655986
100,2040,34,Battery,-0.0
101,2040,34,tankH2_G,13245.376811001659
102,2040,35,saltCavernH2_G,233923.16541788768
103,2040,35,Battery,-0.0
104,2040,35,tankH2_G,13245.376811001659
105,2040,36,saltCavernH2_G,233645.72047017675
106,2040,36,Battery,-0.0
107,2040,36,tankH2_G,13245.376811001659
108,2040,37,saltCavernH2_G,233363.59653545285
109,2040,37,Battery,-0.0
110,2040,37,tankH2_G,13245.376811001659
111,2040,38,saltCavernH2_G,233077.20803254712
112,2040,38,Battery,-0.0
113,2040,38,tankH2_G,13245.376811001659
114,2040,39,saltCavernH2_G,232796.35939977126
115,2040,39,Battery,-0.0
116,2040,39,tankH2_G,13245.376811001659
117,2040,40,saltCavernH2_G,232518.91445206033
118,2040,40,Battery,-0.0
119,2040,40,tankH2_G,13245.376811001659
120,2040,41,saltCavernH2_G,232238.8603809728
121,2040,41,Battery,-0.0
122,2040,41,tankH2_G,13245.376811001659
123,2040,42,saltCavernH2_G,232238.8603809728
124,2040,42,Battery,-0.0
125,2040,42,tankH2_G,12961.893272381643
126,2040,43,saltCavernH2_G,231953.95078066445
127,2040,43,Battery,-0.0
128,2040,43,tankH2_G,12961.893272381643
129,2040,44,saltCavernH2_G,231657.07597256394
130,2040,44,Battery,-0.0
131,2040,44,tankH2_G,12961.893272381643
132,2040,45,saltCavernH2_G,231347.57466121664
133,2040,45,Battery,-0.0
134,2040,45,tankH2_G,12961.893272381643
135,2040,46,saltCavernH2_G,231026.8123725966
136,2040,46,Battery,-0.0
137,2040,46,tankH2_G,12961.893272381643
138,2040,47,saltCavernH2_G,230696.9020709896
139,2040,47,Battery,-0.0
140,2040,47,tankH2_G,12961.893272381643
141,2040,48,saltCavernH2_G,230359.05573691503
142,2040,48,Battery,-0.0
143,2040,48,tankH2_G,12961.893272381643
144,2040,49,saltCavernH2_G,230019.65844180153
145,2040,49,Battery,-0.0
146,2040,49,tankH2_G,12961.893272381643
147,2040,50,saltCavernH2_G,229680.87677980488
148,2040,50,Battery,-0.0
149,2040,50,tankH2_G,12961.893272381643
150,2040,51,saltCavernH2_G,229347.2438775485
151,2040,51,Battery,-0.0
152,2040,51,tankH2_G,12961.893272381643
153,2040,52,saltCavernH2_G,229347.2438775485
154,2040,52,Battery,-0.0
155,2040,52,tankH2_G,12631.982970774616
156,2040,53,saltCavernH2_G,229014.61475775964
157,2040,53,Battery,-0.0
158,2040,53,tankH2_G,12631.982970774616
159,2040,54,saltCavernH2_G,228677.0834431656
160,2040,54,Battery,-0.0
161,2040,54,tankH2_G,12631.982970774616
162,2040,55,saltCavernH2_G,228337.3805279222
163,2040,55,Battery,-0.0
164,2040,55,tankH2_G,12631.982970774616
165,2040,56,saltCavernH2_G,227992.6165931983
166,2040,56,Battery,-0.0
167,2040,56,tankH2_G,12631.982970774616
168,2040,57,saltCavernH2_G,227644.31173314972
169,2040,57,Battery,-0.0
170,2040,57,tankH2_G,12631.982970774616
171,2040,58,saltCavernH2_G,227301.31788608816
172,2040,58,Battery,-0.0
173,2040,58,tankH2_G,12631.982970774616
174,2040,59,saltCavernH2_G,226958.32403902657
175,2040,59,Battery,-0.0
176,2040,59,tankH2_G,12631.982970774616
177,2040,60,saltCavernH2_G,226608.252441965
178,2040,60,Battery,-0.0
179,2040,60,tankH2_G,12631.982970774616
180,2040,61,saltCavernH2_G,226251.41892866965
181,2040,61,Battery,-0.0
182,2040,61,tankH2_G,12631.982970774616
183,2040,62,saltCavernH2_G,225896.16922056914
184,2040,62,Battery,-0.0
185,2040,62,tankH2_G,12631.982970774616
186,2040,63,saltCavernH2_G,225896.16922056914
187,2040,63,Battery,-0.0
188,2040,63,tankH2_G,12282.79384124551
189,2040,64,saltCavernH2_G,225555.25657480626
190,2040,64,Battery,-0.0
191,2040,64,tankH2_G,12282.79384124551
192,2040,65,saltCavernH2_G,225220.96019527715
193,2040,65,Battery,-0.0
194,2040,65,tankH2_G,12282.79384124551
195,2040,66,saltCavernH2_G,224887.9953871766
196,2040,66,Battery,-0.0
197,2040,66,tankH2_G,12282.79384124551
198,2040,67,saltCavernH2_G,224555.0305790761
199,2040,67,Battery,-0.0
200,2040,67,tankH2_G,12282.79384124551
201,2040,68,saltCavernH2_G,224223.75384565088
202,2040,68,Battery,-0.0
203,2040,68,tankH2_G,12282.79384124551
204,2040,69,saltCavernH2_G,223892.13768365423
205,2040,69,Battery,-0.0
206,2040,69,tankH2_G,12282.79384124551
207,2040,70,saltCavernH2_G,223557.51140152774
208,2040,70,Battery,-0.0
209,2040,70,tankH2_G,12282.79384124551
210,2040,71,saltCavernH2_G,223221.25611940122
211,2040,71,Battery,-0.0
212,2040,71,tankH2_G,12282.79384124551
213,2040,72,saltCavernH2_G,222877.9669087033
214,2040,72,Battery,-0.0
215,2040,72,tankH2_G,12282.79384124551
216,2040,73,saltCavernH2_G,222529.36713307028
217,2040,73,Battery,-0.0
218,2040,73,tankH2_G,12282.79384124551
219,2040,74,saltCavernH2_G,222180.7673574373
220,2040,74,Battery,-0.0
221,2040,74,tankH2_G,12282.79384124551
