,YEAR_op,HORAIRE,max_PS_Dvar
0,2040,HCH,2875.9476865605425
1,2040,P,2859.3184855605427
2,2040,HPH,2875.9476865605425
3,2040,HCE,2875.9476865605425
4,2040,HPE,2875.9476865605425
5,2050,HCH,3445.8875603747006
6,2050,P,3445.7619383131187
7,2050,HPH,3445.8875603747006
8,2050,HCE,3445.8875603747006
9,2050,HPE,3445.8875603747006
10,2020,HCH,-0.0
11,2020,P,0.0
12,2020,HPH,0.0
13,2020,HCE,-0.0
14,2020,HPE,-0.0
15,2030,HCH,1032.2514096766695
16,2030,P,306.20655521525805
17,2030,HPH,1032.2514096766695
18,2030,HCE,1032.2514096766695
19,2030,HPE,1032.2514096766695
