,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,gazNat,16286760.708927102
1,2040,gazBio,1553936.754950828
2,2040,hydrogen,-0.0
3,2040,gaz,-0.0
4,2040,electricity,7761053.095405153
5,2050,gazNat,3092153.4829689204
6,2050,gazBio,14682151.757741332
7,2050,hydrogen,-0.0
8,2050,gaz,-0.0
9,2050,electricity,5980568.364571123
10,2020,gazNat,70509194.1001789
11,2020,gazBio,-0.0
12,2020,hydrogen,-0.0
13,2020,gaz,-0.0
14,2020,electricity,-0.0
15,2030,gazNat,62154946.25606547
16,2030,gazBio,317166.1805181902
17,2030,hydrogen,-0.0
18,2030,gaz,-0.0
19,2030,electricity,27306674.970142886
