,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,2040,SMR,1973049.3074717356
1,2040,SMR + CCS1,832648.9436115513
2,2040,WindOnShore,45430462.88008077
3,2040,Solar,-0.0
4,2040,CCS1,1142259.2285094382
5,2040,CCS2,-0.0
6,2040,SMR + CCS2,-0.0
7,2040,WindOffShore_flot,-0.0
8,2040,curtailment,0.0
9,2040,SMR_elec,-0.0
10,2040,electrolysis_PEMEL,-0.0
11,2040,SMR_elecCCS1,-0.0
12,2040,electrolysis_AEL,29016946.25160656
13,2050,SMR,3996059.8099130816
14,2050,SMR + CCS1,562507.791514617
15,2050,WindOnShore,37698547.66052115
16,2050,Solar,9985764.312478583
17,2050,CCS1,771669.4062915766
18,2050,CCS2,-0.0
19,2050,SMR + CCS2,-0.0
20,2050,WindOffShore_flot,-0.0
21,2050,curtailment,0.0
22,2050,SMR_elec,-0.0
23,2050,electrolysis_PEMEL,-0.0
24,2050,SMR_elecCCS1,-0.0
25,2050,electrolysis_AEL,16084248.72337468
26,2020,SMR,9128548.42460624
27,2020,SMR + CCS1,-0.0
28,2020,WindOnShore,-0.0
29,2020,Solar,-0.0
30,2020,CCS1,0.0
31,2020,CCS2,0.0
32,2020,SMR + CCS2,0.0
33,2020,WindOffShore_flot,-0.0
34,2020,curtailment,0.0
35,2020,SMR_elec,-0.0
36,2020,electrolysis_PEMEL,-0.0
37,2020,SMR_elecCCS1,-0.0
38,2020,electrolysis_AEL,-0.0
39,2030,SMR,2920594.961247134
40,2030,SMR + CCS1,1232523.8401242958
41,2030,WindOnShore,54967211.35692297
42,2030,Solar,-0.0
43,2030,CCS1,1690822.6948963334
44,2030,CCS2,-0.0
45,2030,SMR + CCS2,-0.0
46,2030,WindOffShore_flot,-0.0
47,2030,curtailment,0.0
48,2030,SMR_elec,-0.0
49,2030,electrolysis_PEMEL,-0.0
50,2030,SMR_elecCCS1,-0.0
51,2030,electrolysis_AEL,24009498.453493282
