,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,gaz,-0.0
1,2040,electricity,4774339.893783412
2,2040,gazBio,401336.79082076787
3,2040,gazNat,13575108.951333739
4,2040,hydrogen,-0.0
5,2050,gaz,-0.0
6,2050,electricity,4408572.463129536
7,2050,gazBio,608792.6877270394
8,2050,gazNat,5021123.697992765
9,2050,hydrogen,-0.0
10,2020,gaz,-0.0
11,2020,electricity,-0.0
12,2020,gazBio,-0.0
13,2020,gazNat,70509194.1001789
14,2020,hydrogen,-0.0
15,2030,gaz,-0.0
16,2030,electricity,13077710.256059889
17,2030,gazBio,-0.0
18,2030,gazNat,36640527.3454704
19,2030,hydrogen,-0.0
