,YEAR_op,HORAIRE,max_PS_Dvar
0,2040,P,1493.606085099148
1,2040,HPE,1879.9290028442194
2,2040,HCH,1879.9290028442194
3,2040,HCE,1879.9290028442194
4,2040,HPH,1879.9290028442194
5,2050,P,0.0
6,2050,HPE,1731.6520006949456
7,2050,HCH,1495.9433154716976
8,2050,HCE,1731.6520006949456
9,2050,HPH,1495.9433154716976
10,2020,P,0.0
11,2020,HPE,-0.0
12,2020,HCH,-0.0
13,2020,HCE,-0.0
14,2020,HPH,0.0
15,2030,P,0.0
16,2030,HPE,852.8382751198468
17,2030,HCH,852.8382751198468
18,2030,HCE,852.8382751198468
19,2030,HPH,852.8382751198468
