,YEAR_op,HORAIRE,max_PS_Dvar
0,2040,P,1684.326255671123
1,2040,HPE,1909.1492057484945
2,2040,HCH,1909.1492057484945
3,2040,HCE,1909.1492057484945
4,2040,HPH,1909.1492057484945
5,2050,P,1324.2746821298847
6,2050,HPE,1324.2746821298847
7,2050,HCH,1324.2746821298847
8,2050,HCE,1324.2746821298847
9,2050,HPH,1324.2746821298847
10,2020,P,0.0
11,2020,HPE,-0.0
12,2020,HCH,-0.0
13,2020,HCE,-0.0
14,2020,HPH,0.0
15,2030,P,5.295080382583612
16,2030,HPE,1386.7300334573379
17,2030,HCH,1386.7300334573379
18,2030,HCE,1386.7300334573379
19,2030,HPH,1386.7300334573379
