,YEAR_op,HORAIRE,max_PS_Dvar
0,2040,HPH,1904.908325596482
1,2040,HCE,1904.908325596482
2,2040,P,1680.2411025738618
3,2040,HPE,1904.908325596482
4,2040,HCH,1904.908325596482
5,2050,HPH,1333.5462534709866
6,2050,HCE,1333.5462534709866
7,2050,P,1333.5462534709866
8,2050,HPE,1333.5462534709866
9,2050,HCH,1333.5462534709866
10,2020,HPH,0.0
11,2020,HCE,-0.0
12,2020,P,0.0
13,2020,HPE,-0.0
14,2020,HCH,-0.0
15,2030,HPH,1382.414951698882
16,2030,HCE,1382.414951698882
17,2030,P,5.293983633465276
18,2030,HPE,1382.414951698882
19,2030,HCH,1382.414951698882
