,YEAR_op,HORAIRE,max_PS_Dvar
0,2040,HCH,2515.7313213294674
1,2040,P,2482.2015480294676
2,2040,HPH,2515.7313213294674
3,2040,HCE,2515.7313213294674
4,2040,HPE,2515.7313213294674
5,2050,HCH,2448.455063754101
6,2050,P,2350.056713754101
7,2050,HPH,2448.455063754101
8,2050,HCE,2448.455063754101
9,2050,HPE,2448.455063754101
10,2020,HCH,-0.0
11,2020,P,0.0
12,2020,HPH,0.0
13,2020,HCE,-0.0
14,2020,HPE,-0.0
15,2030,HCH,948.3609471544472
16,2030,P,0.0
17,2030,HPH,948.3609471544472
18,2030,HCE,948.3609471544472
19,2030,HPE,948.3609471544472
