,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,gazNat,29285351.085995868
1,2040,gaz,-0.0
2,2040,gazBio,769221.5242613675
3,2040,electricity,8732392.440610535
4,2040,hydrogen,-0.0
5,2050,gazNat,20448146.15014571
6,2050,gaz,-0.0
7,2050,gazBio,8867287.367276905
8,2050,electricity,4959360.218579554
9,2050,hydrogen,-0.0
10,2020,gazNat,70509194.1001789
11,2020,gaz,-0.0
12,2020,gazBio,-0.0
13,2020,electricity,-0.0
14,2020,hydrogen,-0.0
15,2030,gazNat,66249534.8684278
16,2030,gaz,-0.0
17,2030,gazBio,-0.0
18,2030,electricity,26289396.787182357
19,2030,hydrogen,-0.0
