,YEAR_invest,YEAR_invest,TECHNOLOGIES,capacityDel_Pvar
0,2040,2040,Solar,0.0
1,2040,2040,Coal_p,0.0
2,2040,2040,HydroRiver,0.0
3,2040,2040,WindOnShore,0.0
4,2040,2040,HydroReservoir,0.0
5,2040,2040,TAC,0.0
6,2040,2040,curtailment,0.0
7,2040,2040,OldNuke,0.0
8,2040,2040,IntercoOut,0.0
9,2040,2040,CCG,0.0
10,2040,2040,NewNuke,0.0
11,2040,2040,IntercoIn,0.0
12,2040,2040,WindOffShore,0.0
13,2040,2010,Solar,0.0
14,2040,2010,Coal_p,0.0
15,2040,2010,HydroRiver,0.0
16,2040,2010,WindOnShore,0.0
17,2040,2010,HydroReservoir,0.0
18,2040,2010,TAC,0.0
19,2040,2010,curtailment,0.0
20,2040,2010,OldNuke,0.0
21,2040,2010,IntercoOut,0.0
22,2040,2010,CCG,0.0
23,2040,2010,NewNuke,0.0
24,2040,2010,IntercoIn,0.0
25,2040,2010,WindOffShore,0.0
26,2040,2020,Solar,0.0
27,2040,2020,Coal_p,0.0
28,2040,2020,HydroRiver,0.0
29,2040,2020,WindOnShore,0.0
30,2040,2020,HydroReservoir,0.0
31,2040,2020,TAC,0.0
32,2040,2020,curtailment,0.0
33,2040,2020,OldNuke,0.0
34,2040,2020,IntercoOut,0.0
35,2040,2020,CCG,0.0
36,2040,2020,NewNuke,0.0
37,2040,2020,IntercoIn,0.0
38,2040,2020,WindOffShore,0.0
39,2040,2030,Solar,0.0
40,2040,2030,Coal_p,0.0
41,2040,2030,HydroRiver,0.0
42,2040,2030,WindOnShore,0.0
43,2040,2030,HydroReservoir,0.0
44,2040,2030,TAC,0.0
45,2040,2030,curtailment,0.0
46,2040,2030,OldNuke,0.0
47,2040,2030,IntercoOut,0.0
48,2040,2030,CCG,0.0
49,2040,2030,NewNuke,0.0
50,2040,2030,IntercoIn,0.0
51,2040,2030,WindOffShore,0.0
52,2010,2040,Solar,4000.0
53,2010,2040,Coal_p,6000.0
54,2010,2040,HydroRiver,0.0
55,2010,2040,WindOnShore,8000.0
56,2010,2040,HydroReservoir,0.0
57,2010,2040,TAC,7100.0
58,2010,2040,curtailment,0.0
59,2010,2040,OldNuke,0.0
60,2010,2040,IntercoOut,0.0
61,2010,2040,CCG,0.0
62,2010,2040,NewNuke,0.0
63,2010,2040,IntercoIn,0.0
64,2010,2040,WindOffShore,0.0
65,2010,2010,Solar,0.0
66,2010,2010,Coal_p,0.0
67,2010,2010,HydroRiver,0.0
68,2010,2010,WindOnShore,0.0
69,2010,2010,HydroReservoir,0.0
70,2010,2010,TAC,0.0
71,2010,2010,curtailment,0.0
72,2010,2010,OldNuke,0.0
73,2010,2010,IntercoOut,0.0
74,2010,2010,CCG,0.0
75,2010,2010,NewNuke,0.0
76,2010,2010,IntercoIn,0.0
77,2010,2010,WindOffShore,0.0
78,2010,2020,Solar,0.0
79,2010,2020,Coal_p,0.0
80,2010,2020,HydroRiver,0.0
81,2010,2020,WindOnShore,0.0
82,2010,2020,HydroReservoir,0.0
83,2010,2020,TAC,0.0
84,2010,2020,curtailment,0.0
85,2010,2020,OldNuke,0.0
86,2010,2020,IntercoOut,0.0
87,2010,2020,CCG,0.0
88,2010,2020,NewNuke,0.0
89,2010,2020,IntercoIn,0.0
90,2010,2020,WindOffShore,0.0
91,2010,2030,Solar,0.0
92,2010,2030,Coal_p,0.0
93,2010,2030,HydroRiver,0.0
94,2010,2030,WindOnShore,0.0
95,2010,2030,HydroReservoir,0.0
96,2010,2030,TAC,0.0
97,2010,2030,curtailment,0.0
98,2010,2030,OldNuke,0.0
99,2010,2030,IntercoOut,0.0
100,2010,2030,CCG,0.0
101,2010,2030,NewNuke,0.0
102,2010,2030,IntercoIn,0.0
103,2010,2030,WindOffShore,0.0
104,2020,2040,Solar,0.0
105,2020,2040,Coal_p,0.0
106,2020,2040,HydroRiver,0.0
107,2020,2040,WindOnShore,0.0
108,2020,2040,HydroReservoir,0.0
109,2020,2040,TAC,0.0
110,2020,2040,curtailment,0.0
111,2020,2040,OldNuke,0.0
112,2020,2040,IntercoOut,0.0
113,2020,2040,CCG,0.0
114,2020,2040,NewNuke,0.0
115,2020,2040,IntercoIn,0.0
116,2020,2040,WindOffShore,0.0
117,2020,2010,Solar,0.0
118,2020,2010,Coal_p,0.0
119,2020,2010,HydroRiver,0.0
120,2020,2010,WindOnShore,0.0
121,2020,2010,HydroReservoir,0.0
122,2020,2010,TAC,0.0
123,2020,2010,curtailment,0.0
124,2020,2010,OldNuke,0.0
125,2020,2010,IntercoOut,0.0
126,2020,2010,CCG,0.0
127,2020,2010,NewNuke,0.0
128,2020,2010,IntercoIn,0.0
129,2020,2010,WindOffShore,0.0
130,2020,2020,Solar,0.0
131,2020,2020,Coal_p,0.0
132,2020,2020,HydroRiver,0.0
133,2020,2020,WindOnShore,0.0
134,2020,2020,HydroReservoir,0.0
135,2020,2020,TAC,0.0
136,2020,2020,curtailment,0.0
137,2020,2020,OldNuke,0.0
138,2020,2020,IntercoOut,0.0
139,2020,2020,CCG,0.0
140,2020,2020,NewNuke,0.0
141,2020,2020,IntercoIn,0.0
142,2020,2020,WindOffShore,0.0
143,2020,2030,Solar,0.0
144,2020,2030,Coal_p,0.0
145,2020,2030,HydroRiver,0.0
146,2020,2030,WindOnShore,0.0
147,2020,2030,HydroReservoir,0.0
148,2020,2030,TAC,0.0
149,2020,2030,curtailment,0.0
150,2020,2030,OldNuke,0.0
151,2020,2030,IntercoOut,0.0
152,2020,2030,CCG,0.0
153,2020,2030,NewNuke,0.0
154,2020,2030,IntercoIn,0.0
155,2020,2030,WindOffShore,0.0
156,2030,2040,Solar,0.0
157,2030,2040,Coal_p,0.0
158,2030,2040,HydroRiver,0.0
159,2030,2040,WindOnShore,0.0
160,2030,2040,HydroReservoir,0.0
161,2030,2040,TAC,0.0
162,2030,2040,curtailment,0.0
163,2030,2040,OldNuke,0.0
164,2030,2040,IntercoOut,0.0
165,2030,2040,CCG,0.0
166,2030,2040,NewNuke,0.0
167,2030,2040,IntercoIn,0.0
168,2030,2040,WindOffShore,0.0
169,2030,2010,Solar,0.0
