,YEAR_op,TECHNOLOGIES,capacity_Pvar
0,2040,curtailment,12734.795659999996
1,2040,HydroReservoir,15000.0
2,2040,NewNuke,5000.0
3,2040,WindOffShore,15000.0
4,2040,HydroRiver,11000.0
5,2040,TAC,5000.0
6,2040,Coal_p,0.0
7,2040,Interco,26000.0
8,2040,Solar,55000.0
9,2040,WindOnShore,52000.0
10,2040,OldNuke,45000.0
11,2040,CCG,10000.0
12,2050,curtailment,12734.795659999996
13,2050,HydroReservoir,15000.0
14,2050,NewNuke,13000.0
15,2050,WindOffShore,45000.0
16,2050,HydroRiver,11000.0
17,2050,TAC,0.0
18,2050,Coal_p,0.0
19,2050,Interco,39000.0
20,2050,Solar,75000.0
21,2050,WindOnShore,70000.0
22,2050,OldNuke,15000.0
23,2050,CCG,17000.0
24,2020,curtailment,0.0
25,2020,HydroReservoir,15000.0
26,2020,NewNuke,0.0
27,2020,WindOffShore,0.0
28,2020,HydroRiver,11000.0
29,2020,TAC,10000.0
30,2020,Coal_p,10000.0
31,2020,Interco,10000.0
32,2020,Solar,4000.0
33,2020,WindOnShore,8000.0
34,2020,OldNuke,63000.0
35,2020,CCG,5000.0
36,2030,curtailment,0.0
37,2030,HydroReservoir,15000.0
38,2030,NewNuke,0.0
39,2030,WindOffShore,6000.0
40,2030,HydroRiver,11000.0
41,2030,TAC,10000.0
42,2030,Coal_p,6000.0
43,2030,Interco,13000.0
44,2030,Solar,45000.0
45,2030,WindOnShore,40000.0
46,2030,OldNuke,54000.0
47,2030,CCG,7000.0
