,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,uranium,887772773.0664256
1,2040,gazBio,-0.0
2,2040,electricity,-0.0
3,2040,gaz,-0.0
4,2040,hydrogen,-0.0
5,2040,gazNat,3833085.839960953
6,2050,uranium,318530100.07347214
7,2050,gazBio,51541444.807429664
8,2050,electricity,-0.0
9,2050,gaz,-0.0
10,2050,hydrogen,-0.0
11,2050,gazNat,-0.0
12,2020,uranium,2605770474.2299085
13,2020,gazBio,-0.0
14,2020,electricity,-0.0
15,2020,gaz,-0.0
16,2020,hydrogen,-0.0
17,2020,gazNat,516100.9817660897
18,2030,uranium,1332346024.902975
19,2030,gazBio,-0.0
20,2030,electricity,-0.0
21,2030,gaz,-0.0
22,2030,hydrogen,-0.0
23,2030,gazNat,3776793.5192205096
