,YEAR_op,TECHNOLOGIES,powerCosts_Pvar
0,2040,CCG,0.0
1,2040,WindOnShore,0.0
2,2040,HydroRiver,0.0
3,2040,HydroReservoir,0.0
4,2040,Solar,0.0
5,2040,WindOffShore,0.0
6,2040,NewNuke,0.0
7,2040,TAC,0.0
8,2040,OldNuke,0.0
9,2040,curtailment,-0.0
10,2040,Interco,218354846.04454
11,2040,Coal_p,-0.0
12,2050,CCG,0.0
13,2050,WindOnShore,0.0
14,2050,HydroRiver,0.0
15,2050,HydroReservoir,0.0
16,2050,Solar,0.0
17,2050,WindOffShore,0.0
18,2050,NewNuke,0.0
19,2050,TAC,0.0
20,2050,OldNuke,0.0
21,2050,curtailment,188761612.24017403
22,2050,Interco,1748751931.4256907
23,2050,Coal_p,-0.0
24,2020,CCG,0.0
25,2020,WindOnShore,0.0
26,2020,HydroRiver,0.0
27,2020,HydroReservoir,0.0
28,2020,Solar,0.0
29,2020,WindOffShore,0.0
30,2020,NewNuke,0.0
31,2020,TAC,0.0
32,2020,OldNuke,0.0
33,2020,curtailment,-0.0
34,2020,Interco,9022854.813693631
35,2020,Coal_p,14125098.582780208
36,2030,CCG,0.0
37,2030,WindOnShore,0.0
38,2030,HydroRiver,0.0
39,2030,HydroReservoir,0.0
40,2030,Solar,0.0
41,2030,WindOffShore,0.0
42,2030,NewNuke,0.0
43,2030,TAC,0.0
44,2030,OldNuke,0.0
45,2030,curtailment,-0.0
46,2030,Interco,33583463.43831814
47,2030,Coal_p,1409177.4112529934
