,YEAR_invest,TECHNOLOGIES,capacityInvest_Dvar
0,2025,CCG,2500.0
1,2025,electrolysis_AEL,2409.5253433350845
2,2025,WindOffShore,7850.0
3,2025,CCG_H2,0.0
4,2025,NewNuke,3300.0
5,2025,TAC,0.0
6,2025,OldNuke,100000.0
7,2025,Solar,22250.0
8,2025,IntercoOut,0.0
9,2025,HydroRiver,500.0
10,2025,IntercoIn,8541.301407074287
11,2025,HydroReservoir,500.0
12,2025,WindOnShore,7000.0
13,2025,TAC_H2,0.0
14,2025,curtailment,100000.0
15,2025,Coal_p,0.0
16,2010,CCG,100000.0
17,2010,electrolysis_AEL,0.0
18,2010,WindOffShore,0.0
19,2010,CCG_H2,0.0
20,2010,NewNuke,0.0
21,2010,TAC,100000.0
22,2010,OldNuke,100000.0
23,2010,Solar,100000.0
24,2010,IntercoOut,0.0
25,2010,HydroRiver,100000.0
26,2010,IntercoIn,0.0
27,2010,HydroReservoir,100000.0
28,2010,WindOnShore,100000.0
29,2010,TAC_H2,0.0
30,2010,curtailment,100000.0
31,2010,Coal_p,100000.0
32,2020,CCG,0.0
33,2020,electrolysis_AEL,1240.4746566649153
34,2020,WindOffShore,2600.0
35,2020,CCG_H2,0.0
36,2020,NewNuke,0.0
37,2020,TAC,0.0
38,2020,OldNuke,100000.0
39,2020,Solar,15550.0
40,2020,IntercoOut,0.0
41,2020,HydroRiver,0.0
42,2020,IntercoIn,6263.553193103666
43,2020,HydroReservoir,0.0
44,2020,WindOnShore,12600.0
45,2020,TAC_H2,0.0
46,2020,curtailment,100000.0
47,2020,Coal_p,0.0
48,2015,CCG,100000.0
49,2015,electrolysis_AEL,0.0
50,2015,WindOffShore,2600.0
51,2015,CCG_H2,0.0
52,2015,NewNuke,0.0
53,2015,TAC,100000.0
54,2015,OldNuke,100000.0
55,2015,Solar,100000.0
56,2015,IntercoOut,0.0
57,2015,HydroRiver,100000.0
58,2015,IntercoIn,0.0
59,2015,HydroReservoir,100000.0
60,2015,WindOnShore,100000.0
61,2015,TAC_H2,0.0
62,2015,curtailment,100000.0
63,2015,Coal_p,100000.0
