,YEAR_op,TECHNOLOGIES,capacity_Pvar
0,2025,CCG,2500.0
1,2025,electrolysis_AEL,1240.4746566649153
2,2025,WindOffShore,5200.0
3,2025,CCG_H2,0.0
4,2025,NewNuke,0.0
5,2025,TAC,6500.0
6,2025,OldNuke,59400.0
7,2025,Solar,35100.0
8,2025,IntercoOut,0.0
9,2025,HydroRiver,11000.0
10,2025,IntercoIn,6263.553193103666
11,2025,HydroReservoir,15000.0
12,2025,WindOnShore,33200.0
13,2025,TAC_H2,0.0
14,2025,curtailment,100000.0
15,2025,Coal_p,1000.0
16,2020,CCG,2500.0
17,2020,electrolysis_AEL,0.0
18,2020,WindOffShore,2600.0
19,2020,CCG_H2,0.0
20,2020,NewNuke,0.0
21,2020,TAC,6800.0
22,2020,OldNuke,61250.0
23,2020,Solar,19550.0
24,2020,IntercoOut,0.0
25,2020,HydroRiver,11000.0
26,2020,IntercoIn,0.0
27,2020,HydroReservoir,15000.0
28,2020,WindOnShore,20600.0
29,2020,TAC_H2,0.0
30,2020,curtailment,0.0
31,2020,Coal_p,3500.0
32,2030,CCG,5000.0
33,2030,electrolysis_AEL,3650.0
34,2030,WindOffShore,13050.0
35,2030,CCG_H2,0.0
36,2030,NewNuke,3300.0
37,2030,TAC,3250.0
38,2030,OldNuke,51250.0
39,2030,Solar,57350.0
40,2030,IntercoOut,0.0
41,2030,HydroRiver,11500.0
42,2030,IntercoIn,14804.854600177954
43,2030,HydroReservoir,15500.0
44,2030,WindOnShore,40200.0
45,2030,TAC_H2,0.0
46,2030,curtailment,100000.0
47,2030,Coal_p,500.0
48,2015,CCG,5000.0
49,2015,electrolysis_AEL,0.0
50,2015,WindOffShore,0.0
51,2015,CCG_H2,0.0
52,2015,NewNuke,0.0
53,2015,TAC,7100.0
54,2015,OldNuke,63100.0
55,2015,Solar,4000.0
56,2015,IntercoOut,0.0
57,2015,HydroRiver,11000.0
58,2015,IntercoIn,0.0
59,2015,HydroReservoir,15000.0
60,2015,WindOnShore,8000.0
61,2015,TAC_H2,0.0
62,2015,curtailment,0.0
63,2015,Coal_p,6000.0
