,YEAR_op,TECHNOLOGIES,powerCosts_Pvar
0,2025,CCG,0.0
1,2025,electrolysis_AEL,0.0
2,2025,WindOffShore,0.0
3,2025,CCG_H2,0.0
4,2025,NewNuke,0.0
5,2025,TAC,0.0
6,2025,OldNuke,5064919780.21299
7,2025,Solar,0.0
8,2025,IntercoOut,-0.0
9,2025,HydroRiver,0.0
10,2025,IntercoIn,28621226.810956445
11,2025,HydroReservoir,0.0
12,2025,WindOnShore,0.0
13,2025,TAC_H2,0.0
14,2025,curtailment,4098772.0272125783
15,2025,Coal_p,1938389.975588444
16,2020,CCG,0.0
17,2020,electrolysis_AEL,0.0
18,2020,WindOffShore,0.0
19,2020,CCG_H2,0.0
20,2020,NewNuke,0.0
21,2020,TAC,0.0
22,2020,OldNuke,6201052397.848162
23,2020,Solar,0.0
24,2020,IntercoOut,-0.0
25,2020,HydroRiver,0.0
26,2020,IntercoIn,-0.0
27,2020,HydroReservoir,0.0
28,2020,WindOnShore,0.0
29,2020,TAC_H2,0.0
30,2020,curtailment,-0.0
31,2020,Coal_p,2245434.0735845417
32,2030,CCG,0.0
33,2030,electrolysis_AEL,0.0
34,2030,WindOffShore,0.0
35,2030,CCG_H2,0.0
36,2030,NewNuke,0.0
37,2030,TAC,0.0
38,2030,OldNuke,3571650104.688935
39,2030,Solar,0.0
40,2030,IntercoOut,-0.0
41,2030,HydroRiver,0.0
42,2030,IntercoIn,165281558.50283432
43,2030,HydroReservoir,0.0
44,2030,WindOnShore,0.0
45,2030,TAC_H2,0.0
46,2030,curtailment,2207891.2981488616
47,2030,Coal_p,726602.9906419034
48,2015,CCG,0.0
49,2015,electrolysis_AEL,0.0
50,2015,WindOffShore,0.0
51,2015,CCG_H2,0.0
52,2015,NewNuke,0.0
53,2015,TAC,0.0
54,2015,OldNuke,8563724407.89246
55,2015,Solar,0.0
56,2015,IntercoOut,-0.0
57,2015,HydroRiver,0.0
58,2015,IntercoIn,-0.0
59,2015,HydroReservoir,0.0
60,2015,WindOnShore,0.0
61,2015,TAC_H2,0.0
62,2015,curtailment,-0.0
63,2015,Coal_p,634155.8064844056
