,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,gazNat,27397289.9850448
1,2040,hydrogen,-0.0
2,2040,gazBio,440133.62760578905
3,2040,gaz,-0.0
4,2040,electricity,9156500.642375482
5,2050,gazNat,20890626.870814912
6,2050,hydrogen,-0.0
7,2050,gazBio,9198334.770137396
8,2050,gaz,-0.0
9,2050,electricity,4585617.9653965775
10,2020,gazNat,70509194.1001789
11,2020,hydrogen,-0.0
12,2020,gazBio,-0.0
13,2020,gaz,-0.0
14,2020,electricity,-0.0
15,2030,gazNat,55471161.84751873
16,2030,hydrogen,-0.0
17,2030,gazBio,-0.0
18,2030,gaz,-0.0
19,2030,electricity,29623429.37268079
