,YEAR_op,HORAIRE,max_PS_Dvar
0,2040,HPH,2611.4213921218516
1,2040,P,2583.3738655218517
2,2040,HCH,2611.4213921218516
3,2040,HPE,2618.0193803218517
4,2040,HCE,2618.4254187218517
5,2050,HPH,2760.6018275797587
6,2050,P,2685.9168038902676
7,2050,HCH,2760.6018275797587
8,2050,HPE,2795.6386613902678
9,2050,HCE,2795.6386613902678
10,2020,HPH,0.0
11,2020,P,0.0
12,2020,HCH,-0.0
13,2020,HPE,-0.0
14,2020,HCE,-0.0
15,2030,HPH,1171.391630427026
16,2030,P,578.2732454379461
17,2030,HCH,1171.391630427026
18,2030,HPE,1171.391630427026
19,2030,HCE,1171.391630427026
