,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,transInvest_Dvar
0,2040,SMR,SMR,0.0
1,2040,SMR,CCS2,0.0
2,2040,SMR,electrolysis_PEMEL,0.0
3,2040,SMR,CCS1,0.0
4,2040,SMR,Solar,0.0
5,2040,SMR,WindOnShore,0.0
6,2040,SMR,SMR_elec,0.0
7,2040,SMR,curtailment,0.0
8,2040,SMR,WindOffShore_flot,0.0
9,2040,SMR,SMR + CCS2,0.0
10,2040,SMR,SMR_elecCCS1,0.0
11,2040,SMR,SMR + CCS1,0.0
12,2040,SMR,electrolysis_AEL,0.0
13,2040,CCS2,SMR,0.0
14,2040,CCS2,CCS2,0.0
15,2040,CCS2,electrolysis_PEMEL,0.0
16,2040,CCS2,CCS1,0.0
17,2040,CCS2,Solar,0.0
18,2040,CCS2,WindOnShore,0.0
19,2040,CCS2,SMR_elec,0.0
20,2040,CCS2,curtailment,0.0
21,2040,CCS2,WindOffShore_flot,0.0
22,2040,CCS2,SMR + CCS2,0.0
23,2040,CCS2,SMR_elecCCS1,0.0
24,2040,CCS2,SMR + CCS1,0.0
25,2040,CCS2,electrolysis_AEL,0.0
26,2040,electrolysis_PEMEL,SMR,0.0
27,2040,electrolysis_PEMEL,CCS2,0.0
28,2040,electrolysis_PEMEL,electrolysis_PEMEL,0.0
29,2040,electrolysis_PEMEL,CCS1,0.0
30,2040,electrolysis_PEMEL,Solar,0.0
31,2040,electrolysis_PEMEL,WindOnShore,0.0
32,2040,electrolysis_PEMEL,SMR_elec,0.0
33,2040,electrolysis_PEMEL,curtailment,0.0
34,2040,electrolysis_PEMEL,WindOffShore_flot,0.0
35,2040,electrolysis_PEMEL,SMR + CCS2,0.0
36,2040,electrolysis_PEMEL,SMR_elecCCS1,0.0
37,2040,electrolysis_PEMEL,SMR + CCS1,0.0
38,2040,electrolysis_PEMEL,electrolysis_AEL,0.0
39,2040,CCS1,SMR,0.0
40,2040,CCS1,CCS2,0.0
41,2040,CCS1,electrolysis_PEMEL,0.0
42,2040,CCS1,CCS1,0.0
43,2040,CCS1,Solar,0.0
44,2040,CCS1,WindOnShore,0.0
45,2040,CCS1,SMR_elec,0.0
46,2040,CCS1,curtailment,0.0
47,2040,CCS1,WindOffShore_flot,0.0
48,2040,CCS1,SMR + CCS2,0.0
49,2040,CCS1,SMR_elecCCS1,0.0
50,2040,CCS1,SMR + CCS1,0.0
51,2040,CCS1,electrolysis_AEL,0.0
52,2040,Solar,SMR,0.0
53,2040,Solar,CCS2,0.0
54,2040,Solar,electrolysis_PEMEL,0.0
55,2040,Solar,CCS1,0.0
56,2040,Solar,Solar,0.0
57,2040,Solar,WindOnShore,0.0
58,2040,Solar,SMR_elec,0.0
59,2040,Solar,curtailment,0.0
60,2040,Solar,WindOffShore_flot,0.0
61,2040,Solar,SMR + CCS2,0.0
62,2040,Solar,SMR_elecCCS1,0.0
63,2040,Solar,SMR + CCS1,0.0
64,2040,Solar,electrolysis_AEL,0.0
65,2040,WindOnShore,SMR,0.0
66,2040,WindOnShore,CCS2,0.0
67,2040,WindOnShore,electrolysis_PEMEL,0.0
68,2040,WindOnShore,CCS1,0.0
69,2040,WindOnShore,Solar,0.0
70,2040,WindOnShore,WindOnShore,0.0
71,2040,WindOnShore,SMR_elec,0.0
72,2040,WindOnShore,curtailment,0.0
73,2040,WindOnShore,WindOffShore_flot,0.0
74,2040,WindOnShore,SMR + CCS2,0.0
75,2040,WindOnShore,SMR_elecCCS1,0.0
76,2040,WindOnShore,SMR + CCS1,0.0
