,YEAR_op,RESOURCES,importCosts_Pvar
0,2040,electricity,6707961.531109172
1,2040,gaz,-0.0
2,2040,gazBio,520634.2850906377
3,2040,gazNat,23154304.46194524
4,2040,hydrogen,-0.0
5,2050,electricity,65883064.652751185
6,2050,gaz,-0.0
7,2050,gazBio,-0.0
8,2050,gazNat,-0.0
9,2050,hydrogen,-0.0
10,2020,electricity,-0.0
11,2020,gaz,-0.0
12,2020,gazBio,-0.0
13,2020,gazNat,70509194.1001789
14,2020,hydrogen,-0.0
15,2030,electricity,24916330.403468058
16,2030,gaz,-0.0
17,2030,gazBio,-0.0
18,2030,gazNat,66650023.411618955
19,2030,hydrogen,-0.0
